,vBR,sBR,timestamp
1,0.0,3.0,1578505416.0
2,0.0,3.0,1578505466.0
3,0.0,3.0,1578505500.0
4,0.0,3.0,1578505733.0
5,0.9790976332746363,4.223872041593295,1578506080.0
6,0.008415912200300602,3.010519890250375,1578798073.0
7,0.0033478842627137286,3.004184855328392,1578868875.0
8,0.002967814247452932,3.003709767809316,1578923629.0
9,0.017015935961917906,3.021269919952397,1578951274.0
10,0.011538336064234855,3.0144229200802934,1578969127.0
11,0.010791342438246561,3.013489178047808,1579022756.0
12,0.010791345840588799,3.0134891823007357,1579049861.0
13,0.00791515915047709,3.009893948938096,1579064867.0
14,0.007477717083771755,3.009347146354714,1579079622.0
15,0.010171596607863724,3.012714495759829,1579129070.0
16,0.009576709021136345,3.01197088627642,1579137009.0
17,0.009576709023850731,3.011970886279813,1579137907.0
18,0.009123058967109562,3.0114038237088865,1579140175.0
19,0.01622319629781789,3.020278995372272,1579221894.0
20,0.01605797904929652,3.0200724738116205,1579315427.0
21,0.015776877148908106,3.019721096436135,1579320285.0
22,0.12399546831879654,3.1549943353984955,1579403105.0
23,0.12235119354493582,3.1529389919311694,1579575098.0
24,0.12455830119440763,3.1556978764930093,1579586601.0
25,0.12345982475767399,3.1543247809470922,1579604222.0
26,0.1213244454734715,3.151655556841839,1579657522.0
27,0.11871500678406782,3.1483937584800845,1579695781.0
28,0.11871499618344787,3.1483937452293094,1579720912.0
29,0.11867347748378547,3.148341846854732,1579800576.0
30,0.11873895288235585,3.148423691102945,1580145435.0
31,0.10992595256555339,3.1374074407069417,1580147855.0
32,0.10640670901718717,3.1330083862714835,1580153363.0
33,0.10724436813075075,3.134055460163438,1580205587.0
34,1.2652155507427563,4.581519438428445,1580254318.0
35,1.1492811692490783,4.436601461561348,1580364126.0
36,1.1491969617452567,4.43649620218157,1580374668.0
37,1.112515771311225,4.3906447141390315,1580435527.0
38,1.0941749831447416,4.367718728930927,1580561468.0
39,1.233698305839048,4.54212288229881,1580667472.0
40,1.441802026803792,4.80225253350474,1580726205.0
41,1.3775829866916232,4.721978733364529,1580762276.0
42,1.4173047241489114,4.7716309051861385,1580804364.0
43,1.4050226513505069,4.756278314188133,1580839249.0
44,1.3570787930608836,4.696348491326104,1580843543.0
45,1.3556079735818798,4.694509966977349,1580853227.0
46,1.2655235842335817,4.581904480291977,1580862581.0
47,1.234765291897222,4.543456614871527,1580862987.0
48,1.0891831328245776,4.3614789160307215,1580882755.0
49,1.078270333225154,4.347837916531442,1580885756.0
50,1.056485614242164,4.320607017802705,1580917325.0
51,1.056485492445431,4.320606865556789,1580919304.0
52,1.0543553371983307,4.317944171497913,1580963528.0
53,1.0512373032685485,4.314046629085685,1580973852.0
54,0.9930284515352107,4.241285564419013,1581004576.0
55,0.9929695320562271,4.241211915070283,1581031226.0
56,0.9951886146391193,4.2439857682988995,1581129749.0
